coreid,aff_total,coresex,coreprefyr,Degree,Major,fy14,donor
134854,4,F,2001,MED   ,Special Education,100,1
134893,39,F,1992,MS    ,Communications,50,1
134932,28,M,1982,BS    ,Criminal Justice,100,1
135166,6,F,1986,BS    ,GRP SS Psych,50,1
135213,8,F,1985,MED   ,General Education,300,1
135232,20,F,2002,BS    ,Health Science,250,1
135237,7,F,2000,BSN   ,Nursing,110,1
135240,4,F,2003,BS    ,Physical Education,50,1
135293,3,M,1993,BBA   ,Finance,120,1
135348,6,F,2001,DNP   ,Nursing,25,1
135354,11,M,1996,BA    ,Political Science,150,1
135375,9,F,1988,BBA   ,Management,500,1
135380,13,M,1991,BBA   ,Marketing,300,1
135390,4,F,2000,MS    ,Occupational Therapy,125,1
135416,3,M,1997,MST   ,Taxation,20,1
135439,9,F,2001,BBA   ,Management,230,1
135467,12,F,1989,BSN   ,Nursing,50,1
135472,8,F,2005,BS    ,Physical Education,50,1
135508,7,M,1995,BS    ,Geology,200,1
135510,9,M,1990,BBA   ,Finance,125,1
135572,9,F,1998,BS    ,Advertising & Public Relations,50,1
135583,4,F,2001,MPAS  ,Physician Assistant Studies,50,1
135665,16,M,1992,BBA   ,Management,1000,1
135692,15,M,2004,MPA   ,Public Administration,50,1
135830,10,F,2004,BSN   ,Nursing,150,1
135833,8,F,2002,BS    ,Health Science,25,1
135841,10,M,2001,BS    ,Earth Science,50,1
135857,8,F,1995,BA    ,English Language and Literature,50,1
135911,12,M,1996,BS    ,Physical Education,25,1
136134,9,F,2004,BS    ,Physical Education,10,1
136189,5,F,1997,MED   ,Special Education,50,1
136199,16,F,1985,BBA   ,Accounting,400,1
136237,8,M,1979,BBA   ,Marketing,50,1
136245,4,M,1981,MSW   ,School Social Work,50,1
136268,83,F,1978,MBA   ,Management,5100,1
136280,3,M,1992,BSE   ,Engineering,50,1
136285,19,F,1981,BS    ,Natural Resource Management,1000,1
136348,10,F,1991,BA    ,English Language and Lit,35,1
136351,28,M,1971,MBA   ,Finance,500,1
136356,4,F,1981,MST   ,Taxation,100,1
136405,23,F,1992,BS    ,Health Science,250,1
136431,20,M,1977,BS    ,Physical Education,50,1
136445,13,F,1980,BBA   ,Accounting,300,1
136475,11,F,1999,BBA   ,Management,110,1
136548,5,M,1990,BBA   ,Marketing,100,1
136600,4,F,2003,BBA   ,Management,25,1
136615,13,M,1983,BS    ,Art,300,1
136639,9,M,1993,BS    ,Physical Education,50,1
136641,119,F,1999,MPA   ,Public Administration,440,1
136710,10,F,1980,BS    ,GRP SS Hist,10,1
136898,6,F,1992,MED   ,General Education,125,1
136954,3,F,2003,BS    ,Group Science,476.67,1
136960,6,F,1993,BS    ,Physical Education,25,1
136997,8,M,1984,BS    ,Political Science,500,1
137015,4,F,1999,MED   ,School Counseling,20,1
137034,12,F,1995,MS    ,Communications,30,1
137110,248,M,1988,BS    ,Broadcasting,25,1
137122,2,M,2003,BS    ,Health Science,100,1
137155,2,M,1993,BS    ,Physical Education,100,1
137163,8,M,1987,BFA   ,Art,50,1
137171,4,M,2000,MBA   ,Business General,50,1
137254,10,F,1987,BFA   ,Art,20,1
137367,8,M,1997,BS    ,Physics,2000,1
137393,9,M,1991,BBA   ,Marketing,20,1
137399,11,M,1998,BFA   ,Art,200,1
137408,6,M,2000,MBA   ,Business General,20,1
137425,10,M,2002,BBA   ,Marketing,300,1
137508,10,F,1993,BS    ,Psychology,100,1
137628,3,F,1999,MS    ,Physical Therapy,100,1
137709,20,F,1982,BA    ,Language Arts,525,1
137748,12,M,1985,MBA   ,Marketing,1000,1
137788,8,M,2002,BS    ,Physical Education,100,1
137957,9,M,1985,MBA   ,Management,250,1
138003,55,M,1979,BS    ,Art,580,1
138061,1,F,2002,BS    ,Psychology,20,1
138103,9,F,1990,BS    ,Communications,75,1
138117,8,M,1993,MS    ,Computer Information Systems,100,1
138122,3,F,1995,BBA   ,Finance,25,1
138128,5,M,1997,BS    ,Psychology,10,1
138138,7,F,1979,MA    ,Urban Education,500,1
138152,7,M,1979,MA    ,Urban Education,500,1
138221,13,F,1972,BS    ,Psychology,150,1
138224,3,F,1990,BBA   ,Accounting,70,1
138227,9,M,2002,BBA   ,Management,238.34,1
138364,15,M,1985,BS    ,Occup Safety/Health Management,300,1
138388,7,F,1981,BS    ,Art,100,1
138472,1,M,1998,MED   ,General Education,25,1
138494,5,F,1993,MED   ,Special Education,550,1
138528,7,F,1995,BS    ,Psychology,25,1
138544,9,M,1976,MPA   ,Public Administration,600,1
138576,7,F,1981,BS    ,Music,75,1
138635,4,M,2003,MPAS  ,Physician Assistant Studies,50,1
138669,9,M,1996,MBA   ,Business General,25,1
138765,11,F,2008,MED   ,General Education,50,1
138846,10,F,2002,BS    ,Sociology,35,1
138855,8,M,1995,MED   ,General Education,250,1
138886,8,M,1992,MBA   ,Business General,500,1
138924,11,F,1979,BS    ,Biology,100,1
139057,13,F,1984,BBA   ,Accounting,100,1
139155,7,F,1999,MSN   ,Nursing,50,1
139165,12,F,1985,MBA   ,Management,400,1
139206,8,M,1997,BS    ,Geology,500,1
139289,8,F,2007,MED   ,General Education,50,1
139321,8,F,1986,MSN   ,Nursing,75,1
139340,10,F,1993,BS    ,Public Administration,500,1
139359,3,F,1993,BS    ,Psychology,25,1
139361,11,M,1995,BFA   ,Art,50,1
139363,21,M,1998,MED   ,General Education,1765,1
139436,4,F,2004,MED   ,School Counseling,200,1
139493,5,M,1988,MED   ,General Education,475,1
139524,13,F,2002,MED   ,General Education,41,1
139541,16,F,1979,BS    ,Biology,200,1
139647,6,M,2004,BBA   ,Finance,50,1
139681,10,M,1998,BS    ,GRO Social Studies,50,1
139802,8,F,1989,BSN   ,Nursing - RN,400,1
139918,18,M,1978,BS    ,Physical Education,17050,1
140054,6,M,1974,BA    ,Spanish,300,1
140100,21,F,2009,MPA   ,Public Administration,35,1
140154,8,F,1980,BA    ,Finance,200,1
140234,18,M,2013,BS    ,Biology,450,1
140287,4,F,2006,BS    ,Cell and Molecular Biology,50,1
140454,33,F,1968,BA    ,History,800,1
147666,7,F,1968,MSW   ,,50,1
152898,19,M,1977,BBA   ,Business General,1000,1
153503,10,F,1975,BS    ,Theatre,1000,1
157792,8,M,1972,BBA   ,Business General,400,1
189536,7,F,1978,BS    ,Group SS Soc,200,1
190065,12,M,1994,BBA   ,Marketing,750,1
190192,8,F,2001,MSW   ,Social Work,600,1
190217,5,M,2005,BBA   ,Marketing,5000,1
190304,2,F,1986,BS    ,GRO Soc Science,25,1
190307,26,M,1987,MSW   ,Social Work,1000,1
190313,2,F,1989,BS    ,Psychology,10000,1
525826,11,F,2006,BA    ,English Language and Literature,150,1
525852,9,F,2006,BA    ,English Language and Literature,100,1
526687,10,M,2006,BS    ,Biomedical Sciences,150,1
526777,3,M,2003,MST   ,Taxation,20,1
526824,9,M,2003,BS    ,Computer Science,50,1
526858,11,M,2003,BA    ,Advertising & Public Relations,20,1
526869,4,F,2003,MS    ,Computer Information Systems,25,1
526886,12,F,2003,MNMB  ,Nursing/Business,100,1
526911,10,F,2003,MS    ,Computer Information Systems,500,1
527093,3,F,2010,MED   ,Literacy Studies,50,1
527105,11,F,2003,BBA   ,Marketing,300,1
527141,4,F,2003,MSA   ,Accounting,20,1
527155,5,F,2003,BA    ,English Language and Literature,10,1
527174,11,F,2003,BBA   ,Management,25,1
527576,1,F,2003,MHS   ,Health Science,50,1
527577,7,M,2003,BBA   ,Management,500,1
527663,2,F,2003,MED   ,General Education,100,1
527691,8,F,2003,MED   ,General Education,5,1
527696,10,F,2003,BA    ,English Language and Literature,100,1
527868,4,M,2004,BS    ,Art,35,1
527880,9,M,2004,MED   ,General Education,60,1
527944,7,F,2004,BBA   ,Finance,30,1
528066,7,M,2004,MED   ,General Education,150,1
528082,1,F,2004,MED   ,Reading,15,1
528102,3,F,2004,BA    ,History,25,1
528201,14,M,2004,MPA   ,Public Administration,300,1
528222,9,F,2004,PMCE  ,,100,1
528235,1,F,2004,BBA   ,Accounting,25,1
528293,18,F,2004,BS    ,Biology,500,1
528373,7,M,2004,BBA   ,Marketing,200,1
528394,9,F,2004,BA    ,Health Communication,60,1
528444,12,F,2004,BS    ,Physical Education,100,1
528549,6,F,2004,BSN   ,Nursing,20,1
528578,8,F,2004,BS    ,Hospitality Tourism Mgt,50,1
528584,13,F,2004,BA    ,English Language and Literature,60,1
528590,50,F,2004,MS    ,Communications,15,1
528754,10,M,2004,BBA   ,Finance,50,1
528781,11,F,2004,DPT   ,Physical Therapy,300,1
528952,7,M,2004,MBA   ,Business General,50,1
529098,12,F,2004,MSA   ,Accounting,200,1
529109,6,F,2004,BS    ,Biology,50,1
529141,48,M,2004,MBA   ,Business General,100,1
529239,13,F,2004,MSA   ,Accounting,31.15,1
529995,7,F,2006,MPA   ,Public Administration,100,1
530254,34,F,2012,BS    ,Liberal Studies,500,1
530555,7,M,2005,BBA   ,Business General,50,1
531453,31,M,2004,MSA   ,Accounting,300,1
531484,6,F,2004,BSN   ,Nursing,25,1
531490,6,F,2004,MST   ,Taxation,200,1
531518,9,F,2004,DPT   ,Physical Therapy,400,1
531521,8,F,2004,BS    ,Information Systems,300,1
531540,2,F,2004,BA    ,Criminal Justice,500,1
531594,8,M,2004,BA    ,Communications,100,1
531766,2,F,2004,MSW   ,Social Work,50,1
531778,3,F,2004,BSN   ,Nursing,300,1
531830,4,M,2004,BSE   ,Engineering,35,1
531837,10,F,2004,BS    ,Physical Education,25,1
531855,28,M,2004,MSA   ,Accounting,300,1
531906,4,F,2004,MSW   ,Social Work,150,1
531946,14,F,2004,DNP   ,Nursing,337.08,1
531948,10,M,2004,BS    ,Political Science,100,1
532191,8,M,2002,BS    ,History,250,1
532722,1,M,2004,MPA   ,Public Administration,500,1
532802,8,F,2005,BSN   ,Nursing,100,1
534189,6,F,2007,MED   ,General Education,20,1
535135,2,F,2008,MPAS  ,Physician Assistant Studies,50,1
535170,2,F,2006,BA    ,Spanish,50,1
535172,8,M,2007,BS    ,History,11.12,1
535176,15,F,2006,MA    ,English Language and Literature,1,1
535280,6,M,2006,BBA   ,Business Economics,200,1
535287,9,F,2006,BS    ,Biomedical Sciences,100,1
535319,6,F,2005,DPT   ,Physical Therapy,200,1
535322,3,F,2007,BA    ,Mathematics,20,1
